彖	乛豕 vu
访	讠方 yf
证	讠正 yv
诂	讠口 yk
诃	讠口 yk
评	讠平 yp
诅	讠且 yq
识	讠八 yz
诈	讠乍 yv
词	讠口 yk
诎	讠出 yi
诏	讠口 yk
诐	讠又 yi
诒	讠口 yk
诔	讠耒 yl
试	讠工 yg
诖	讠土 yt
诗	讠寸 yc
诘	讠口 yk
诙	讠火 yl
诛	讠朱 yv
诜	讠儿 yq
话	讠口 yk
诞	讠廴 yz
诟	讠口 yk
诠	讠王 yw
诡	讠乛 yv
询	讠日 yp
诣	讠日 yp
该	讠人 yr
诧	讠七 yq
诨	讠车 yi
诩	讠习 yx
诬	讠人 yr
语	讠口 yk
诮	讠月 yl
误	讠天 yt
诰	讠口 yk
诳	讠王 yw
说	讠儿 yq
请	讠月 yl
诸	讠日 yp
诹	讠又 yi
诺	讠口 yk
读	讠大 yd
诽	讠非 yf
课	讠果 yg
诿	讠女 yn
谀	讠臾 yy
谂	讠心 yx
调	讠口 yk
谅	讠小 yc
谆	讠子 yz
谇	讠十 yu
谈	讠火 yl
谊	讠且 yq
谋	讠木 ym
谍	讠木 ym
谐	讠白 yb
谓	讠月 yl
谕	讠刂 yd
谖	讠又 yi
谙	讠日 yp
谛	讠巾 yj
谜	讠辶 yz
谝	讠艹 yc
谞	讠月 yl
谟	讠大 yd
谠	讠儿 yq
谢	讠寸 yc
谣	讠缶 yf
谤	讠方 yf
谥	讠皿 ym
谦	讠乀 yy
谧	讠皿 ym
谨	讠一 yh
谩	讠又 yi
谫	讠刀 yd
谭	讠十 yu
谯	讠灬 yh
谱	讠日 yp
谳	讠犬 yq
谴	讠辶 yz
谶	讠韭 yj
谼	八八 zz
谿	丿口 pk
豁	宀口 bk
负	𠂊人 xr
货	亻人 rr
贩	冂又 ni
贫	八人 zr
购	冂厶 ns
贱	冂戋 nj
贲	十人 ur
贳	世人 ur
贴	冂口 nk
贶	冂儿 nq
贷	亻人 rr
贺	力人 lr
贻	冂口 nk
贼	冂𠂇 nu
贽	扌人 fr
贿	冂月 nl
赀	止人 vr
赁	亻人 rr
赂	冂口 nk
赃	冂土 nt
资	冫人 dr
赅	冂人 nr
赊	冂小 nc
赋	冂止 nv
赌	冂日 np
赎	冂大 nd
赐	冂勿 nw
赑	冂人 nr
赒	冂口 nk
赕	冂火 nl
赗	冂目 ng
赚	冂乀 ny
赛	宀人 br
赞	𠂒人 nr
赟	文人 wr
赠	冂日 np
赧	土又 ti
赪	土人 tr
赫	土丶 tx
赭	土日 tp
走	土人 tr
赵	土乂 tx
赶	土干 tt
起	土己 tj
趄	土且 tq
超	土口 tk
趑	土人 tr
趔	土刂 td
趟	土口 tk
趣	土又 ti
趱	土人 tr
足	口人 kr
趴	𧾷八 zz
趺	𧾷夫 zf
趾	𧾷止 zv
跂	𧾷又 zi
跃	𧾷夭 zy
跄	𧾷乛 zv
跆	𧾷口 zk
跌	𧾷失 zu
跎	𧾷匕 zb
跏	𧾷口 zk
跐	𧾷匕 zb
跑	𧾷巳 zs
跖	𧾷石 zu
跗	𧾷寸 zc
跚	𧾷册 zc
跛	𧾷又 zi
跣	𧾷儿 zq
跤	𧾷乂 zx
跪	𧾷乛 zv
跬	𧾷土 zt
路	𧾷口 zk
跱	𧾷寸 zc
践	𧾷戋 zj
跶	𧾷辶 zz
跷	𧾷兀 zw
跸	𧾷十 zu
跹	𧾷辶 zz
跺	𧾷木 zm
跽	𧾷心 zx
踅	扌人 fr
踌	𧾷寸 zc
踏	𧾷日 zp
踒	𧾷女 zn
踔	𧾷十 zu
踝	𧾷果 zg
踞	𧾷口 zk
踟	𧾷口 zk
踢	𧾷勿 zw
踦	𧾷口 zk
踩	𧾷木 zm
踪	𧾷小 zc
踬	𧾷人 zr
踮	𧾷口 zk
踯	𧾷阝 zq
踱	𧾷又 zi
踵	𧾷重 zv
踶	𧾷人 zr
踹	𧾷而 zq
踺	𧾷廴 zz
蹀	𧾷木 zm
蹁	𧾷艹 zc
蹂	𧾷木 zm
蹄	𧾷巾 zj
蹉	𧾷工 zg
蹊	𧾷大 zd
蹋	𧾷习 zx
蹐	𧾷月 zl
蹑	𧾷又 zi
蹒	𧾷两 zl
蹚	𧾷土 zt
蹜	𧾷百 zb
蹭	𧾷日 zp
蹯	𧾷田 zt
蹲	𧾷寸 zc
蹾	𧾷攵 zw
躁	𧾷木 zm
躇	𧾷日 zp
躜	𧾷人 zr
车	一丨 hs
轩	车干 it
轪	车大 id
轭	车乛 iv
轮	车匕 ib
软	车人 ir
轰	车又 ii
轱	车口 ik
轲	车口 ik
轳	车尸 is
轵	车八 iz
轶	车失 iu
轺	车口 ik
轻	车工 ig
轼	车工 ig
轾	车土 it
辀	车舟 iv
辁	车王 iw
辂	车口 ik
较	车乂 ix
辆	车两 il
辇	夫车 fi
辉	⺌车 xi
辊	车匕 ib
辌	车小 ic
辏	车天 it
辒	车皿 im
输	车刂 id
辖	车口 ik
辘	车匕 ib
辙	车攵 iw
辚	车丨 is
辛	立十 lu
辟	尸十 su
辣	立束 lu
边	辶力 zl
达	辶大 zd
辿	辶山 zn
迁	辶千 zq
迂	辶于 zt
迄	辶乞 zq
过	辶寸 zc
运	辶厶 zs
迕	辶午 zw
这	辶文 zw
进	辶井 zj
远	辶儿 zq
违	辶韦 zw
连	辶车 zi
迟	辶尺 zi
迢	辶口 zk
迤	辶也 zy
迥	辶口 zk
迦	辶口 zk
迨	辶口 zk
迩	辶小 zc
迪	辶由 zy
迫	辶白 zb
迭	辶失 zu
迮	辶乍 zv
述	辶术 zu
迷	辶米 zh
迸	辶开 zk
迺	辶西 zx
送	辶天 zt
适	辶口 zk
逃	辶丶 zx
逆	辶丿 zp
选	辶儿 zq
逊	辶小 zc
逍	辶月 zl
递	辶丿 zp
逖	辶火 zl
通	辶用 zy
逛	辶王 zw
逝	辶斤 zi
逞	辶王 zw
造	辶口 zk
逢	辶丰 zf
逭	辶㠯 zk
逯	辶氺 zu
逵	辶土 zt
逸	辶丶 zx
逻	辶夕 zx
逾	辶刂 zd
遂	辶豕 zu
遄	辶而 zq
遆	辶巾 zj
遇	辶禺 zy
遍	辶艹 zc
遏	辶乛 zv
遑	辶王 zw
遒	辶酉 zf
道	辶自 zz
遗	辶人 zr
遢	辶习 zx
遣	辶㠯 zk
遥	辶缶 zf
遴	辶丨 zs
遵	辶寸 zc
邂	辶牛 zn
邃	辶豕 zu
邑	口巴 kb
邗	干阝 tq
邘	于阝 tq
邙	亡阝 wq
邛	工阝 gq
邝	广阝 bq
邠	八阝 zq
邡	方阝 fq
邢	开阝 kq
邮	由阝 yq
邯	甘阝 gq
邰	厶阝 sq
邲	必阝 bq
邵	刀阝 dq
邶	丨阝 sq
邻	人阝 rq
邽	土阝 tq
邾	朱阝 vq
邿	土阝 tq
郁	𠂇阝 uq
郃	人阝 rq
郊	亠阝 wq
郐	人阝 rq
郑	丷阝 bq
郓	冖阝 bq
郗	乂阝 xq
郚	五阝 wq
郛	丿阝 pq
郜	𠂒阝 nq
郝	土阝 tq
郢	口阝 kq
郤	八阝 zq
郧	口阝 kq
郭	亠阝 wq
郯	火阝 lq
郴	木阝 mq
郸	丷阝 bq
都	耂阝 lq
鄀	艹阝 cq
鄃	人阝 rq
鄌	广阝 bq
鄗	亠阝 wq
鄘	广阝 bq
鄙	口阝 kq
鄚	艹阝 cq
鄜	广阝 bq
鄞	廿阝 nq
鄣	立阝 lq
鄫	丷阝 bq
鄯	羊阝 yq
鄱	丿阝 pq
酂	𠂒阝 nq
酊	酉丁 fd
配	酉己 fj
酎	酉寸 fc
酐	酉干 ft
酚	酉刀 fd
酝	酉厶 fs
酡	酉匕 fb
酢	酉乍 fv
酣	酉甘 fg
酤	酉口 fk
酥	酉禾 fh
酩	酉口 fk
酪	酉口 fk
酮	酉口 fk
酯	酉日 fp
酰	酉儿 fq
酲	酉王 fw
酵	酉子 fz
酷	酉口 fk
酽	酉严 fy
醇	酉子 fz
醉	酉十 fu
醋	酉日 fp
醌	酉匕 fb
醍	酉人 fr
醐	酉月 fl
醑	酉月 fl
醒	酉生 fu
醚	酉辶 fz
醛	酉王 fw
醢	酉皿 fm
醨	酉丶 fx
醮	酉灬 fh
醯	酉皿 fm
醺	酉灬 fh
醾	酉米 fh
量	日里 pt
釐	未里 wt
针	钅十 ju
钉	钅丁 jd
钊	钅刂 jd
钍	钅土 jt
钎	钅千 jq
钔	钅门 jm
钕	钅女 jn
钠	钅内 jn
钡	钅人 jr
钢	钅乂 jx
钣	钅又 ji
钥	钅月 jl
钦	钅人 jr
钧	钅冫 jd
钩	钅厶 js
钪	钅几 jj
钫	钅方 jf
钬	钅火 jl
钮	钅丑 ji
钯	钅巴 jb
钰	钅玉 jy
钱	钅戋 jj
钲	钅正 jv
钳	钅甘 jg
钴	钅口 jk
钻	钅口 jk
钼	钅目 jg
钿	钅田 jt
铁	钅失 ju
铂	钅白 jb
铃	钅龴 js
铅	钅口 jk
铆	钅卩 jq
铈	钅巾 jj
铉	钅幺 jy
铊	钅匕 jb
铌	钅匕 jb
铍	钅又 ji
铏	钅刂 jd
铑	钅匕 jb
铒	钅耳 jq
铕	钅月 jl
铗	钅夹 jj
铘	钅阝 jq
铙	钅兀 jw
铚	钅土 jt
铛	钅彐 jn
铜	钅口 jk
铝	钅口 jk
铞	钅巾 jj
铟	钅大 jd
铡	钅刂 jd
铢	钅朱 jv
铣	钅儿 jq
铤	钅廴 jz
铥	钅厶 js
铧	钅十 ju
铨	钅王 jw
铩	钅朩 jm
铪	钅口 jk
铬	钅口 jk
铭	钅口 jk
铯	钅巴 jb
铰	钅乂 jx
铱	钅𧘇 jf
铳	钅儿 jq
铵	钅女 jn
铷	钅口 jk
铸	钅寸 jc
铹	钅力 jl
铻	钅口 jk
铼	钅来 jl
铽	钅心 jx
链	钅辶 jz
铿	钅土 jt
销	钅月 jl
锁	钅人 jr
锂	钅里 jt
锃	钅王 jw
锄	钅力 jl
锆	钅口 jk
锉	钅土 jt
锋	钅丰 jf
锌	钅十 ju
锏	钅日 jp
锐	钅儿 jq
锓	钅又 ji
锔	钅口 jk
锕	钅口 jk
锖	钅月 jl
锗	钅日 jp
锘	钅口 jk
错	钅日 jp
锚	钅田 jt
锜	钅口 jk
锝	钅寸 jc
锞	钅果 jg
锟	钅匕 jb
锡	钅勿 jw
锢	钅口 jk
锣	钅夕 jx
锤	钅垂 ji
锧	钅人 jr
锨	钅人 jr
锩	钅乛 jv
锪	钅心 jx
锬	钅火 jl
锭	钅人 jr
键	钅廴 jz
锯	钅口 jk
锰	钅皿 jm
锲	钅大 jd
锳	钅央 jy
锴	钅白 jb
锵	钅寸 jc
锶	钅心 jx
锹	钅火 jl
锺	钅重 jv
锻	钅又 ji
锽	钅王 jw
锾	钅又 ji
镀	钅又 ji
镁	钅大 jd
镂	钅女 jn
镃	钅幺 jy
镄	钅人 jr
镅	钅目 jg
镆	钅大 jd
镇	钅八 jz
镊	钅又 ji
镋	钅儿 jq
镏	钅田 jt
镐	钅口 jk
镑	钅方 jf
镒	钅皿 jm
镔	钅八 jz
镕	钅口 jk
镖	钅小 jc
镗	钅土 jt
镘	钅又 ji
镚	钅月 jl
镜	钅儿 jq
镞	钅矢 ju
镡	钅十 ju
镥	钅日 jp
镦	钅攵 jw
镨	钅日 jp
镪	钅虫 ji
镬	钅又 ji
镭	钅田 jt
镰	钅乀 jy
镱	钅心 jx
镲	钅小 jc
门	丶乛 xv
闫	门三 ms
闯	门马 mm
闰	门王 mw
闲	门木 mm
闳	门厶 ms
闵	门文 mw
闶	门几 mj
闹	门巾 mj
闺	门土 mt
闼	门辶 mz
闾	门口 mk
闿	门己 mj
阀	门戈 mg
阁	门口 mk
阂	门人 mr
阃	门木 mm
阄	门乛 mv
阅	门儿 mq
阇	门日 mp
阊	门日 mp
阋	门儿 mq
阌	门又 mi
阍	门日 mp
阐	门丨 ms
阔	门口 mk
阗	门八 mz
阘	门习 mx
阚	门攵 mw
队	阝人 qr
阡	阝千 qq
阪	阝又 qi
阮	阝儿 qq
防	阝方 qf
阳	阝日 qp
阴	阝月 ql
阵	阝车 qi
阻	阝且 qq
阼	阝乍 qv
阽	阝口 qk
阿	阝口 qk
陀	阝匕 qb
陂	阝又 qi
附	阝寸 qc
际	阝小 qc
陆	阝击 qj
陈	阝东 qd
陉	阝工 qg
陌	阝百 qb
陎	阝朱 qv
陑	阝而 qq
陔	阝人 qr
陕	阝夹 qj
陞	阝土 qt
陡	阝人 qr
院	阝儿 qq
陨	阝人 qr
陬	阝又 qi
陲	阝垂 qi
陴	阝十 qu
隃	阝刂 qd
隆	阝生 qu
隋	阝月 ql
隍	阝王 qw
隐	阝心 qx
隗	阝鬼 qg
隘	阝皿 qm
隙	阝小 qc
障	阝十 qu
隧	阝辶 qz
隩	阝大 qd
隰	阝灬 qh
雨	一丶 hx
雪	雨彐 yn
雯	雨文 yw
雱	雨方 yf
雳	雨力 yl
零	雨龴 ys
雷	雨田 yt
雹	雨巳 ys
雾	雨力 yl
需	雨而 yq
霄	雨月 yl
霅	雨口 yk
霆	雨廴 yz
霈	雨丨 ys
霎	雨女 yn
霏	雨非 yf
霓	雨儿 yq
霖	雨木 ym
霜	雨目 yg
霨	雨寸 yc
霰	雨攵 yw
露	雨口 yk
霸	雨月 yl
霾	雨里 yt
靖	立月 ll
靛	龶人 fr
靬	革干 gt
靰	革兀 gw
靴	革匕 gb
靶	革巴 gb
靺	革末 gm
靽	革半 gb
靿	革力 gl
鞁	革又 gi
鞅	革央 gy
鞋	革土 gt
鞍	革女 gn
鞑	革辶 gz
鞔	革乛 gv
鞘	革月 gl
鞡	革立 gl
鞣	革木 gm
鞫	革口 gk
鞬	革廴 gz
鞭	革更 gg
鞮	革人 gr
鞯	革子 gz
韨	韦丶 wx
音	立日 lp
韵	立冫 ld
韶	立口 lk
顼	王人 wr
顽	二人 qr
顾	厂人 ir
颁	八人 zr
颂	八人 zr
预	龴人 sr
领	人人 rr
颉	士人 tr
颋	壬人 rr
颌	人人 rr
颎	匕人 br
颏	亠人 wr
频	止人 vr
颔	人人 rr
颗	果人 gr
颙	禺人 yr
颜	产人 ir
额	宀人 br
颟	艹人 cr
颠	十人 ur
颡	又人 ir
颢	日人 pr
颤	亠人 wr
颥	雨人 yr
颧	艹人 cr
风	几乂 jx
飐	几口 jk
飑	几巳 js
飓	几八 jz
飔	几心 jx
飗	几田 jt
飘	西乂 xx
饥	饣几 uj
饩	饣气 uq
饫	饣夭 uy
饬	饣力 ul
饭	饣又 ui
饮	饣人 ur
饯	饣戋 uj
饰	饣巾 uj
饱	饣巳 us
饲	饣口 uk
饳	饣出 ui
饴	饣口 uk
饵	饣耳 uq
饶	饣兀 uw
饷	饣口 uk
饸	饣口 uk
饹	饣口 uk
饺	饣乂 ux
饻	饣𧘇 uf
馁	饣女 un
馃	饣果 ug
馄	饣匕 ub
馈	饣人 ur
馉	饣骨 ug
馍	饣大 ud
馏	饣田 ut
馐	饣丑 ui
馑	饣一 uh
馒	饣又 ui
馓	饣攵 uw
首	丷自 bz
馧	禾皿 hm
驭	马又 mi
驮	马大 md
驲	马日 mp
驳	马乂 mx
驴	马户 mh
驵	马且 mq
驶	马史 mu
驷	马儿 mq
驸	马寸 mc
驹	马口 mk
驻	马主 mv
驼	马匕 mb
驽	女马 nm
驾	力马 lm
骀	马口 mk
骁	马兀 mw
骃	马大 md
骅	马十 mu
骆	马口 mk
骇	马人 mr
骉	马马 mm
骍	马十 mu
骎	马又 mi
骐	马八 mz
骑	马口 mk
骒	马果 mg
骕	马肃 ms
骗	马艹 mc
骝	马田 mt
骟	马习 mx
骠	马小 mc
骡	马小 mc
骦	马目 mg
骰	骨又 gi
骷	骨口 gk
骸	骨人 gr
骺	骨口 gk
骼	骨口 gk
髀	骨十 gu
髁	骨果 gg
髂	骨口 gk
髅	骨女 gn
髌	骨八 gz
高	亠口 wk
魅	鬼未 gw
魈	鬼月 gl
魉	鬼两 gl
魑	鬼丶 gx
鱼	𠂊一 xh
鱽	鱼刀 gd
鱾	鱼己 gj
鲁	鱼日 gp
鲂	鱼方 gf
鲃	鱼巴 gb
鲆	鱼平 gp
鲇	鱼口 gk
鲈	鱼尸 gs
鲊	鱼乍 gv
鲋	鱼寸 gc
鲌	鱼白 gb
鲍	鱼巳 gs
鲏	鱼又 gi
鲐	鱼口 gk
鲑	鱼土 gt
鲒	鱼口 gk
鲔	鱼月 gl
鲕	鱼而 gq
鲖	鱼口 gk
鲗	鱼刂 gd
鲘	鱼口 gk
鲙	鱼厶 gs
鲛	鱼乂 gx
鲝	⺶鱼 yg
鲟	鱼寸 gc
鲠	鱼更 gg
鲢	鱼辶 gz
鲣	鱼土 gt
鲤	鱼里 gt
鲥	鱼寸 gc
鲦	鱼朩 gm
鲧	鱼小 gc
鲨	氵鱼 dg
鲩	鱼儿 gq
鲪	鱼口 gk
鲫	鱼卩 gq
鲭	鱼月 gl
鲯	鱼八 gz
鲰	鱼又 gi
鲱	鱼非 gf
鲲	鱼匕 gb
鲳	鱼日 gp
鲴	鱼口 gk
鲵	鱼儿 gq
鲷	鱼口 gk
鲸	鱼小 gc
鲼	鱼人 gr
鲽	鱼木 gm
鲿	鱼厶 gs
鳀	鱼人 gr
鳃	鱼心 gx
鳅	鱼火 gl
鳇	鱼王 gw
鳈	鱼水 gu
鳉	鱼寸 gc
鳊	鱼艹 gc
鳎	鱼习 gx
鳏	鱼丶 gx
鳐	鱼缶 gf
鳑	鱼方 gf
鳒	鱼乀 gy
鳓	鱼力 gl
鳔	鱼小 gc
鳕	鱼彐 gn
鳗	鱼又 gi
鳘	丿鱼 pg
鳚	鱼寸 gc
鳝	鱼口 gk
鳟	鱼寸 gc
鳡	鱼心 gx
鸣	口鸟 kn
鸤	尸鸟 sn
鸧	人鸟 rn
鸨	匕鸟 bn
鸪	十鸟 un
鸫	东鸟 dn
鸮	口鸟 kn
鸰	人鸟 rn
鸲	勹鸟 bn
鸷	扌鸟 fn
鸸	而鸟 qn
鸹	千鸟 qn
鸻	彳鸟 in
鸼	舟鸟 vn
鸽	人鸟 rn
鹀	工鸟 gn
鹄	𠂒鸟 nn
鹆	八鸟 zn
鹇	门鸟 mn
鹈	丷鸟 bn
鹊	艹鸟 cn
鹋	艹鸟 cn
鹍	日鸟 pn
鹏	月鸟 ln
鹑	亠鸟 wn
鹒	广鸟 bn
鹕	十鸟 un
鹖	日鸟 pn
鹘	骨鸟 gn
鹚	丷鸟 bn
鹞	丿鸟 pn
鹟	八鸟 zn
鹡	冫鸟 dn
鹢	丷鸟 bn
鹣	丷鸟 bn
鹤	丶鸟 xn
鹦	冂鸟 nn
鹧	广鸟 bn
鹪	亻鸟 rn
鹫	亠鸟 wn
鹭	𧾷鸟 zn
鹯	亠鸟 wn
鹲	艹鸟 cn
鹳	艹鸟 cn
鹴	雨鸟 yn
麀	广匕 bb
麂	广几 bj
麇	广禾 bh
麈	广主 bv
麋	广米 bh
麑	广儿 bq
麒	广八 bz
麓	木匕 mb
麖	广小 bc
麝	广寸 bc
麦	龶夂 fw
麸	龶夫 ff
麹	龶米 fh
麻	广木 bm
麽	广么 bm
黇	艹口 ck
黛	亻黑 rh
黾	口电 kd
鼗	儿又 qi
鼙	士十 tu
鼢	臼刀 jd
鼩	臼口 jk
鼫	臼石 ju
鼯	臼口 jk
鼱	臼月 jl
鼷	臼大 jd
鼾	自干 zt
齁	自口 zk
龀	止匕 vb
龃	止且 vq
龄	止龴 vs
龅	止巳 vs
龆	止口 vk
龇	止匕 vb
龉	止口 vk
龊	止人 vr
龌	止土 vt
龚	龙八 lz
龟	𠂊乛 xv
龠	人艹 rc
鿎	石辶 uz
鿏	钅夂 jw
㘎	口攵 kw
㛃	丰女 fn
㥄	忄夂 xw
䂮	丰石 fu
䃎	石夕 ux
䌹	纟口 sk
䐃	月禾 lh
䓨	艹缶 cf
䴗	目鸟 gn
䴙	尸鸟 sn
勚	世力 ul
圌	囗而 wq
奂	𠂊大 xd
嫱	女口 nk
寁	宀人 br
庱	广夂 bw
廙	广八 bz
榅	木皿 mm
洓	氵乀 dy
灏	氵人 dr
煓	火而 lq
猯	犭而 qq
獭	犭人 qr
祾	礻夂 pw
缲	纟木 sm
翷	米习 hx
腨	月而 lq
襫	衤百 pb
蹢	𧾷口 zk
颛	山人 nr
馔	饣八 uz
鳁	鱼皿 gm
𦒍	立习 lx
𨭉	文金 wj
𬣞	讠一 yh
𠅤	亠心 wx
𣲘	氵无 dw
𥔲	石亏 uk
𥖨	石木 um
𨟠	目阝 gq
𨱏	钅口 jk
𫑡	口阝 kq
𫓶	钅月 jl
𫔎	钅口 jk
𫔶	门木 mm
𫖮	山人 nr
𫖯	儿人 qr
𫖳	尹人 yr
𫘦	马缶 mf
𫘪	马小 mc
𫚖	止鱼 vg
𫛭	犭鸟 qn
𫠆	十人 ur
𬍡	氵玉 dy
𬘘	纟乛 sv
𬟁	艹鸟 cn
𬩽	彐阝 nq
𬭸	钅丨 js
𬱟	𠂊人 xr
𬳶	马口 mk
𬴃	马石 mu
𬴊	马丨 ms
𬷕	甫鸟 fn
𬸘	匚鸟 nn
𬸚	犭鸟 qn
𬸣	宀鸟 bn
𬸦	方鸟 fn
𬸪	丿鸟 pn
𬹼	止丨 vs
𪾢	目见 gq
𬀪	日见 pq
𬒗	石见 uq
𬳿	马余 mh
𬣳	讠艮 yg
𫚭	鱼乛 gv
伦	亻匕 rb
佖	亻必 rb
勍	亠力 wl
勔	面力 ml
匜	匚也 ny
埫	土口 tk
牖	片甫 pf
糯	米而 hq
翙	山习 nx
虓	九几 jj
𠙶	了凵 ln
𠳐	口阝 kq
𡎚	土艹 tc
𡐓	土乀 ty
𣗋	木儿 mq
𣲗	氵韦 dw
𣸣	氵人 dr
𤧛	王巾 wj
𤩽	王犬 wq
𤫉	王又 wi
𥕢	石日 up
𥻗	米一 hh
𦈡	纟而 sq
𦙶	月口 lk
𦝼	月女 ln
𦭜	艹八 cz
𦰡	艹阝 cq
𧿹	𧾷母 zm
𨐈	车兀 iw
𨙸	十阝 uq
𨚕	厶阝 sq
𨱇	钅求 jq
𨱑	钅八 jz
𨱔	钅寸 jc
𨺙	阝儿 qq
𩽾	鱼女 gn
𩾃	鱼乛 gv
𩾌	鱼乀 gy
𪟝	龶力 fl
𪣻	土女 tn
𪨰	山曲 nq
𪨶	山车 ni
𪩘	山犬 nq
𫄧	纟廴 sz
𫄨	纟巾 sj
𫄷	纟心 sx
𫄸	纟灬 sh
𫇭	艹为 cw
𫌀	衤人 pr
𫍣	讠口 yk
𫍯	讠口 yk
𫍲	讠又 yi
𫐄	车兀 iw
𫐐	车儿 iq
𫐓	车木 im
𫓧	钅夫 jf
𫓯	钅土 jt
𫓹	钅八 jz
𫔍	钅田 jt
𫗧	饣束 uu
𫗴	饣一 uh
𫘜	马文 mw
𫘝	马夬 mg
𫘧	马氺 mu
𫘨	马人 mr
𫘬	马大 md
𫚕	鱼巾 gj
𫞩	王两 wl
𫟅	纟小 sc
𫟦	车辶 iz
𫟹	钅八 jz
𫟼	钅辶 jz
𫠊	马幺 my
𫠜	止儿 vq
𫢸	亻丨 rs
𫫇	口心 kx
𫭟	土乂 tx
𫭢	土匕 tb
𫭼	土力 tl
𫮃	土丨 ts
𫰛	女工 ng
𫵷	山力 nl
𫶇	山巾 nj
𫷷	广人 br
𫸩	弓乂 gx
𬀩	日韦 pw
𬂩	木夹 mj
𬃊	木人 mr
𬇕	氵万 dw
𬇙	氵人 dr
𬇹	氵玉 dy
𬉼	火乂 lx
𬊈	火寸 lc
𬊤	火丨 ls
𬌗	牙口 yk
𬍛	王乐 wl
𬍤	王寸 wc
𬒔	石月 ul
𬕂	𥫗人 vr
𬘓	纟川 si
𬘡	纟大 sd
𬘩	纟廴 sz
𬘫	纟儿 sq
𬘬	纟月 sl
𬘭	纟木 sm
𬘯	纟子 sz
𬙂	纟八 sz
𬙊	纟土 st
𬙋	纟𧘇 sf
𬜬	艹口 ck
𬜯	艹两 cl
𬞟	艹人 cr
𬟽	虫东 id
𬣙	讠于 yt
𬣡	讠戋 yj
𬤇	讠土 yt
𬤊	讠人 yr
𬤝	讠心 yx
𬨂	车氏 iu
𬨎	车酉 if
𬪩	酉农 fn
𬬩	钅弋 jy
𬬭	钅匕 jb
𬬮	钅长 ji
𬬱	钅斤 ji
𬬸	钅术 ju
𬬹	钅申 ju
𬬻	钅尸 js
𬬿	钅口 jk
𬭁	钅母 jm
𬭊	钅土 jt
𬭎	钅厶 js
𬭚	钅子 jz
𬭛	钅又 ji
𬭤	钅矢 ju
𬭩	钅习 jx
𬭬	钅彐 jn
𬭯	钅攵 jw
𬭳	钅口 jk
𬭶	钅黑 jh
𬭼	钅辶 jz
𬮱	门土 mt
𬮿	阝己 qj
𬯀	阝丨 qs
𬯎	阝人 qr
𬱖	由人 yr
𬳵	马丕 mp
𬳽	马儿 mq
𬴂	马非 mf
𬶋	鱼口 gk
𬶍	鱼匕 gb
𬶏	鱼乛 gv
𬶐	鱼丶 gx
𬶟	鱼刂 gd
𬶠	鱼柬 gj
𬶭	鱼小 gc
𬶮	鱼口 gk
𬺈	止口 vk
𬺓	止人 vr
𪤗	土丿 tp
𫍽	讠𧘇 yf
磺	石八 uz
硷	石一 uh
佧	亻卜 rb
氽	人水 ru
诶	讠矢 yu
谘	讠口 yk
阢	阝兀 qw
垅	土龙 tl
坶	土母 tm
堀	土出 ti
艹	一丨 hs
茇	艹丶 cx
菸	艹丶 cx
拚	扌廾 fc
挢	扌丨 fs
捱	扌土 ft
揲	扌木 fm
揞	扌日 fp
揎	扌一 fh
摺	扌白 fb
擗	扌十 fu
甙	弋甘 yg
咭	口口 kk
哜	口丨 ks
囗	丨一 sh
囝	囗子 wz
猓	犭果 qg
猸	犭目 qg
馀	饣余 uh
庀	广匕 bb
沲	氵也 dy
渖	氵申 du
弪	弓工 gg
嬲	田力 tl
缍	纟垂 si
缋	纟人 sr
缏	纟更 sg
楱	木天 mt
榀	木口 mk
榘	矢木 um
攴	丨又 si
搿	龵手 uu
肜	月丿 lp
朊	月儿 lq
膣	月土 lt
膪	月口 lk
臁	月乀 ly
欷	乂人 xr
飚	几火 jl
熳	火又 li
憝	亠心 wx
泶	𭕄水 xu
砩	石弗 uf
砦	止石 vu
礤	石小 uc
钶	钅口 jk
钸	钅巾 jj
镙	钅小 jc
镟	钅人 jr
痖	疒亚 by
窆	宀乏 bf
疋	乛人 vr
螓	虫禾 ih
蟓	虫乀 iy
蠛	虫戍 iu
箝	𥫗甘 vg
簦	𥫗一 vh
舡	舟工 vg
舨	舟又 vi
糸	乛小 vc
跫	工人 gr
謦	士口 tk
鲶	鱼心 gx
鳆	鱼夂 gw
鳋	鱼虫 gi
髟	一丿 hp
齄	自一 zh
㘗	口龶 kf
烕	戌火 xl
爒	丿小 pc
戠	亠日 wp
焏	了灬 lh
瓽	⺌瓦 xw
臿	千臼 qj
窞	宀臼 bj
窡	宀又 bi
胾	十人 ur
冘	丶乛 xv
炁	一灬 hh
㖞	口内 kn
喎	口口 kk
搣	扌火 fl
敹	丨攵 sw
苶	艹小 cc
嚱	口戈 kg
囧	囗冂 wn
巭	工夫 gf
沊	丶水 xu
䏕	月壬 lr
奍	龹丨 js
妉	女乛 nv
孃	女𧘇 nf
戉	戈乛 gv
沗	天氺 tu
湚	氵乛 dv
稩	禾月 hl
啇	亠口 wk
蕥	艹龶 cf
薙	艹龶 cf
豗	兀豕 wu
㞗	尸求 sq
䌷	纟由 sy
丼	井丶 jx
乇	丿七 pq
佢	亻巨 rj
俤	亻丿 rp
円	冂一 nh
吔	口也 ky
奀	不大 bd
尛	小小 cc
沢	氵尺 di
犼	犭乛 qv
玊	王丶 wx
畊	田井 tj
